site_id,site_name,site_rename,order,group
01421610,WEST BRANCH DELAWARE RIVER AT HOBART NY,site0,0,0
01421618,TOWN BROOK SOUTHEAST OF HOBART NY,site1,1,0
01421900,WEST BRANCH DELAWARE RIVER UPSTREAM FROM DELHI NY,site2,2,0
01422500,LITTLE DELAWARE RIVER NEAR DELHI NY,site3,3,0
01422747,EAST BROOK EAST OF WALTON NY,site4,4,0
01423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,site6,6,0
0142400103,TROUT CREEK NEAR TROUT CREEK NY,site 7,7,0
01425000,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,site9,9,0
01426500,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,site11,11,0
01427207,DELAWARE RIVER AT LORDVILLE NY,site13,13,0
01427500,CALLICOON CREEK AT CALLICOON NY,site14,14,0
01427510,DELAWARE RIVER AT CALLICOON NY,site15,15,0
01428000,TENMILE RIVER AT TUSTEN NY,site16,16,0
01428500,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,site17,17,0
01422779,WEST BROOK AT AUSTIN LINCOLN PARK AT WALTON NY,site5,5,0
01425805,OQUAGA CREEK AT MCCLURE NY,site10,10,0
01427195,"Equinunk Creek near Dillontown, PA",site12,12,0
01424998,CANNONSVILLE RES RELEASE CHANNEL NR STILESVILLE NY,site8,8,0
01413088,EAST BRANCH DELAWARE RIVER AT ROXBURY NY,site18,18,1
01413398,BUSH KILL NEAR ARKVILLE NY,site19,19,1
01413408,DRY BROOK AT ARKVILLE,site20,20,1
01413500,EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY,site21,21,1
01414000,PLATTE KILL AT DUNRAVEN NY,site22,22,1
01414500,MILL BROOK NEAR DUNRAVEN NY,site23,23,1
01415000,TREMPER KILL NEAR ANDES NY,site24,24,1
01415460,TERRY CLOVE KILL NEAR DE LANCEY NY,site25,25,1
01417000,EAST BRANCH DELAWARE RIVER AT DOWNSVILLE NY,site26,26,1
01417500,EAST BRANCH DELAWARE RIVER AT HARVARD NY,site27,27,1
01419500,WILLOWEMOC CREEK NR LIVINGSTON MANOR NY,site28,28,1
01420500,BEAVER KILL AT COOKS FALLS NY,site29,29,1
01421000,EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY,site30,30,1